# Observer      : 1
# Position      : (2.20000000e-01 1.50000000e-01 -1.00000000e-02)
# Time          	p(Curle)        
105.77          4.53630384e-07
105.78          4.52472349e-07
105.79          4.51302676e-07
105.8           4.50128806e-07
105.81          4.48924246e-07
105.82          4.47782421e-07
105.83          4.46571758e-07
105.84          4.45384924e-07
105.85          4.44183215e-07
105.86          4.42990477e-07
105.87          4.41813157e-07
105.88          4.40582317e-07
105.89          4.39386528e-07
105.9           4.38216799e-07
105.91          4.36974574e-07
105.92          4.35749630e-07
105.93          4.34532621e-07
105.94          4.33306914e-07
105.95          4.32097667e-07
105.96          4.30862464e-07
105.97          4.29625589e-07
105.98          4.28390209e-07
105.99          4.27140972e-07
106             4.25891537e-07
106.01          4.24652347e-07
106.02          4.23391830e-07
106.03          4.22169802e-07
106.04          4.20933524e-07
106.05          4.19665667e-07
106.06          4.18419859e-07
106.07          4.17160941e-07
106.08          4.15893047e-07
106.09          4.14611248e-07
106.1           4.13357622e-07
106.11          4.12047205e-07
106.12          4.10790942e-07
106.13          4.09546060e-07
106.14          4.08256761e-07
106.15          4.06977240e-07
106.16          4.05688689e-07
106.17          4.04439447e-07
106.18          4.03125719e-07
106.19          4.01844326e-07
106.2           4.00546624e-07
106.21          3.99299343e-07
106.22          3.98010006e-07
106.23          3.96694691e-07
106.24          3.95397992e-07
106.25          3.94104143e-07
106.26          3.92793463e-07
106.27          3.91486833e-07
106.28          3.90194731e-07
106.29          3.88866870e-07
106.3           3.87627237e-07
106.31          3.86310135e-07
106.32          3.85011679e-07
106.33          3.83696524e-07
106.34          3.82413014e-07
106.35          3.81087398e-07
106.36          3.79770772e-07
106.37          3.78441837e-07
106.38          3.77133762e-07
106.39          3.75856962e-07
106.4           3.74537637e-07
106.41          3.73216229e-07
106.42          3.71891555e-07
106.43          3.70610383e-07
106.44          3.69298413e-07
106.45          3.67980003e-07
106.46          3.66659234e-07
106.47          3.65355622e-07
106.48          3.64068451e-07
106.49          3.62729380e-07
106.5           3.61398059e-07
106.51          3.60106697e-07
106.52          3.58799422e-07
106.53          3.57468961e-07
106.54          3.56149447e-07
106.55          3.54831871e-07
106.56          3.53532158e-07
106.57          3.52255243e-07
106.58          3.50930677e-07
106.59          3.49619825e-07
106.6           3.48311237e-07
106.61          3.47010132e-07
106.62          3.45662890e-07
106.63          3.44355572e-07
106.64          3.43030238e-07
106.65          3.41733945e-07
106.66          3.40440081e-07
106.67          3.39116090e-07
106.68          3.37819531e-07
106.69          3.36526314e-07
106.7           3.35268011e-07
106.71          3.33946037e-07
106.72          3.32661433e-07
106.73          3.31364737e-07
106.74          3.30067768e-07
106.75          3.28746564e-07
106.76          3.27494860e-07
